開催都道府県,企業名,メールアドレス,電話番号,ホームページ,交通費区分,交通費金額,支給単位,対象者・地域条件,対象交通手段,精算・申請条件,外部助成制度,送迎,交通費原文,全額割合,一部割合,条件付き割合,金額不明割合,掲載コース数,マイナビ企業ID,連絡先最終確認,参照URL
静岡県; 滋賀県; 広島県,(株)やまみ【東証スタンダード上場】,saiyou@yamami.co.jp,0848-86-3788,,条件付き（規定等） 1件,,,会社規定,,,,,支給あり 当社規定に基づいて交通費一部支給がございます。 支給上限はお問い合わせください。,0.0%,0.0%,100.0%,0.0%,1,80903,2026-09-25T05:00:55+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=80903&optNo=qBuhD
愛知県,(株)アイセロ,jinji@aicello.co.jp,0532-88-4113,http://www.aicello.co.jp/,全額 4件,全額,,遠方者,,,,,支給あり ■第１弾 web開催となりますので、交通費の支給はございません。 ■第２弾 対面で実施いたしますので、 遠方の方（本社から30km以上離れている方）に関しましては、交通費を全額支給させていただきます。 | 支給あり ■第１弾 web開催となりますので、交通費の支給はございません。 ■第２弾～第３弾 対面で実施いたしますので、 遠方の方（本社から30km以上離れている方）に関しましては、交通費を全額支給させていただきます。 | 支給あり 遠方の方（本社から30km以上離れている方）に関しましては、交通費を全額支給させていただきます。,100.0%,0.0%,0.0%,0.0%,4,59812,2026-09-24T14:22:22+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=59812&optNo=S2O7o
静岡県,(株)アイテック,yohhashi@aitech-co.jp,0538-55-6521; 0538-55-6801,https://www.aitech-co.jp/,金額不明 3件,,,,,,,,支給あり 交通費一律支給致します。 | 支給あり 交通費支給 | 支給あり 交通費一律で支給致します。,0.0%,0.0%,0.0%,100.0%,3,254959,2026-09-23T13:52:51+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=254959&optNo=YIH43
富山県; 石川県; 山梨県; 静岡県; 愛知県,(株)アイ・テック,saiyo@itec-c.co.jp,,https://www.itec-c.co.jp/,金額不明 1件,,往復,,新幹線,,,,支給あり 新幹線の移動を伴う場合のみ支給対象。（往復の新幹線代のみ支給）,0.0%,0.0%,0.0%,100.0%,1,215127,2026-09-25T14:11:46+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=215127&optNo=VG4PI
北海道; 宮城県; 石川県; 愛知県; 兵庫県; 広島県; 福岡県,(株)アイ工務店,recruit@ai-koumuten.co.jp,,http://ai-koumuten.co.jp,条件付き（規定等） 1件,,,個別相談,新幹線; バス,領収書必須,,,支給あり 新幹線・特急・高速バスのみ ※要相談 ※領収証発行要,0.0%,0.0%,100.0%,0.0%,1,200326,2026-09-22T10:55:17+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=200326&optNo=b1P4d
岡山県,(株)アキオカ,ak.recruit-post@akioka-ltd.jp,,https://akioka1966.co.jp/,"一部（10,000円） 2件",10000,,,公共交通機関; タクシー,実費精算,,,支給あり 自宅から当社への移動に要する料金を実費支給【上限1万円】 （公共交通機関+タクシー）,0.0%,100.0%,0.0%,0.0%,2,249358,2026-09-25T23:07:11+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=249358&optNo=vSDQ4
兵庫県,(株)アクシスマテリア,amlrecruit-sml@list.sei.co.jp,0794-62-8535,https://www.axismateria.co.jp/aml/index.html,"一部（1,000円） 1件",1000,片道,,,,,,"支給あり 片道1,000円まで支給",0.0%,100.0%,0.0%,0.0%,1,274398,2026-09-24T07:10:36+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=274398&optNo=xx9aO
宮城県; 愛知県; 大阪府; 福岡県,(株)アサノ大成基礎エンジニアリング【オリエンタルコンサルタンツグループ】,atk-jinji@atk-eng.jp,03-5246-4150,https://www.atk-eng.jp/,全額 1件,全額,往復,遠方者,新幹線; 飛行機; バス,実費精算; 領収書必須,,,"支給あり 実費精算（上限￥50,000迄） ※交通費は原則仕事体験終了後の支給となります。 ※遠方からご参加の方は往復交通費（新幹線、特急、高速バス、飛行機等）を 支給いたします。ただし、普通指定席、エコノミークラスを対象としますのでご留意ください。 ※支給には領収書が必要になりますのでご持参ください。 ※支給対象利用日は仕事体験開始前2日以内、終了後2日以内となります。",100.0%,0.0%,0.0%,0.0%,1,98850,2026-09-25T22:56:15+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=98850&optNo=bRYDl
北海道,(株)アサヒ建設コンサルタント,masa_ogura@asahicc.co.jp,0166-23-4526,https://www.asahicc.co.jp,金額不明 2件,,往復,市外者,,,,,支給あり 旭川市外の方は往復分支給！ | 支給あり 旭川市外の方は往復分支給。,0.0%,0.0%,0.0%,100.0%,2,108633,2026-09-24T14:15:14+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=108633&optNo=I3-3H
山梨県,(株)アセラ,kanri@acera-jp.com,,https://www.acera-jp.com/,"一部（10,000円） 1件",10000,,,,,,,支給あり ５０００～１００００円 距離によります。,0.0%,100.0%,0.0%,0.0%,1,221312,2026-09-23T04:58:34+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=221312&optNo=ioJjI
福岡県,(株)アダル,recruit@adal.co.jp,,https://www.adal.co.jp/,"一部（1,000円） 1件",1000,,,,,,,"支給あり 対面開催＜Step2～5＞は各日程一律1,000円支給致します。",0.0%,100.0%,0.0%,0.0%,1,69771,2026-09-24T22:45:07+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=69771&optNo=4vAJ1
長野県,(株)アヅマ,recruit-azuma@azuma-japan.co.jp,0268-62-2990,https://www.azuma-japan.co.jp/,条件付き（規定等） 1件,,,遠方者; 会社規定,,,,,支給あり 遠方より来社された方には当社規定による交通費の支給があります。（上限あり）,0.0%,0.0%,100.0%,0.0%,1,106122,2026-09-25T05:13:59+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=106122&optNo=kcC3a
愛知県,(株)アドヴィックス【障がい者窓口】,hc_career@mail.advics.co.jp,,https://www.advics.co.jp/,条件付き（規定等） 1件,,往復,県外者; 県内者; 会社規定,,領収書必須,,,支給あり 県内の方：当社規定金額に応じて提供します 県外の方：往復の領収書をご提出いただき、当社規定金額を提供します,0.0%,0.0%,100.0%,0.0%,1,270619,2026-09-25T23:09:40+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=270619&optNo=Vm8qt
静岡県; 大阪府,(株)アプリイ【アンダーツリーグループ】,recruit@undertree.co.jp,0120-157-177; 0120-663-140,,金額不明 1件,,,,,,,,支給あり ※対面開催限定「来てくれてありがとう！」の気持ちを込めて！ リアル参加の方限定、交通費補助としてQUOカードをプレゼント！,0.0%,0.0%,0.0%,100.0%,1,67889,2026-09-22T14:10:21+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=67889&optNo=6RI0O
福島県,(株)アモルトン,fukagawa.asuka@amorton.jp,0241-24-3434,https://amorton.jp/,"一部（10,000円） 1件",10000,往復; 片道,,公共交通機関; 自家用車,,,記載あり（原文参照）,"支給あり 交通費支給／ 公共交通機関の場合、上限1万円 自家用車の場合、片道40km以上の方1000円 80km以上2,000円 120km以上3,000円 喜多方駅から当社までは送迎いたします。（往復）",0.0%,100.0%,0.0%,0.0%,1,222725,2026-09-24T22:46:45+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=222725&optNo=EchXz
愛知県; 大阪府,(株)アルゴシステム,itami@algosystem.co.jp; n-kamo@algosystem.co.jp,072-362-5067,https://www.algosystem.co.jp/,全額 1件,全額,往復,,タクシー,,,,支給あり 往復の交通費を全額支給（タクシー代は出ません）,100.0%,0.0%,0.0%,0.0%,1,78366,2026-09-25T08:18:31+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=78366&optNo=LGJZy
北海道,(株)アルディート,isg-hr@ardito.jp,,https://www.ardito.jp/,"一部（3,000円） 1件",3000,,,,事前申請,,,"支給あり 上限3,000円（要事前申請）",0.0%,100.0%,0.0%,0.0%,1,212653,2026-09-25T00:33:21+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=212653&optNo=oiUSQ
山口県,(株)アロイ,a-saiyou@alloy.co.jp,029-295-3382; 0833-77-3937,https://www.alloy.co.jp/,"一部（5,000円） 2件",5000,1日あたり,,公共交通機関; タクシー,領収書必須,,,"支給あり 公共交通機関（タクシーを除く）の交通費と宿泊費を合わせて、1日あたり5,000円を上限に支給いたします。 （かならず領収書をご持参ください。）",0.0%,100.0%,0.0%,0.0%,2,283864,2026-09-24T07:10:24+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=283864&optNo=h-8Zf
大阪府,(株)アンズコーポレーション,ands.recruit@ands.co.jp,06-6766-2822,https://www.ands.co.jp/,全額 1件,全額,,,,,,,支給あり 全額支給いたします。,100.0%,0.0%,0.0%,0.0%,1,93697,2026-09-25T08:18:11+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=93697&optNo=DwD3o
愛知県,(株)アンセイ,recruit06@ansei.co.jp,0562-47-2181,https://www.ansei.co.jp/,全額 1件,全額,,遠方者,公共交通機関,実費精算,,,支給あり 公共交通機関利用の場合、実費支給 ※但し、遠方の方は上限あり。事前にご相談ください。,100.0%,0.0%,0.0%,0.0%,1,241595,2026-09-22T10:55:17+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=241595&optNo=g4X0f
山梨県,(株)アートアベニュー,shinsotsu@artavenue.co.jp,03-5339-0719,https://www.artavenue.co.jp/,金額不明 1件,,,,,,,,支給あり ・交通費/プレー代/昼食代は当社が負担いたします。,0.0%,0.0%,0.0%,100.0%,1,273742,2026-09-25T05:02:14+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=273742&optNo=6jGQa
岡山県,(株)アール・ケア,saiyou@rcare.jp,0863-73-9500,http://www.rcare.jp/,"一部（5,000円） 3件",5000,往復,,公共交通機関,,,,"支給あり 交通費：公共交通機関ご利用の場合は往復上限5,000円まで支給",0.0%,100.0%,0.0%,0.0%,3,105292,2026-09-25T23:09:26+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=105292&optNo=-HWUp
兵庫県,(株)イクティス姫路【ヴィーナスギャラリー】,a.sakyou@ichthys.co.jp; m.ando@ichthys.co.jp,078-334-4450; 079-231-0055,https://ichthys.co.jp/; https://www.p-world.co.jp/hyogo/bl-himeji.htm; https://www.p-world.co.jp/hyogo/vg-kobe.htm,金額不明 1件,,,,公共交通機関; 鉄道; バス,,,,"支給あり 公共交通機関（バス・電車）使用の場合、￥3,000まで支給",0.0%,0.0%,0.0%,100.0%,1,274212,2026-09-24T07:09:54+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=274212&optNo=e1T36
北海道; 大阪府; 福岡県,(株)イチケン,saiyo2028@ichiken.co.jp,03-5931-5640; 080-9385-6938,https://www.ichiken.co.jp/,全額 2件,全額,,,,,,,支給あり 全額支給,100.0%,0.0%,0.0%,0.0%,2,54593,2026-09-22T10:55:17+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=54593&optNo=ExaKh
大阪府,(株)イトーキ,saiyo@itoki.jp,,https://wsd.itoki.jp/; https://www.itoki.jp/company/itokistory/,条件付き（規定等） 1件,,,遠方者,,,,,支給あり 遠方者については、社内規定により、日当を支給いたします。,0.0%,0.0%,100.0%,0.0%,1,56258,2026-09-25T05:02:34+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=56258&optNo=2Skh2
香川県,(株)イナダ,ichiro@inadainc.co.jp,0875-62-5858,https://inadainc.co.jp/; https://www.instagram.com/inadainc.1918/,"一部（5,000円） 2件",5000,,,,,,,"支給あり 上限5,000円 | 支給あり 上限5000円",0.0%,100.0%,0.0%,0.0%,2,282208,2026-09-23T13:56:07+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=282208&optNo=O0ApY
岐阜県,(株)インフォファーム,recruit@infofarm.co.jp,058-279-1881,,"一部（1,500円） 2件",1500,,,,,,,"支給あり 交通費支給 一律1,500円",0.0%,100.0%,0.0%,0.0%,2,207064,2026-09-24T22:43:41+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=207064&optNo=eWP5y
大阪府,(株)イーエムシステムズ【東証プライム上場】,recruit@emsystems.co.jp,,http://www.emsystems.co.jp,金額不明 1件,,,,,,,,支給あり,0.0%,0.0%,0.0%,100.0%,1,206345,2026-09-25T08:29:10+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=206345&optNo=TdniH
大阪府,(株)ウィルオブ・ワーク,sa-saiyo@willof.co.jp,03-6746-2010,,金額不明 1件,,,,,,,,支給あり,0.0%,0.0%,0.0%,100.0%,1,220143,2026-09-24T14:19:03+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=220143&optNo=VF6Ig
滋賀県; 京都府; 大阪府,(株)ウェルクリエイト【旧社名：合同会社ふくろう】,recruit@fukurou-llc.com,075-634-6691,https://www.fukurou-care.com; https://www.shake-hands.info; https://www.shin-design.info,金額不明 1件,,,,,,,,支給あり,0.0%,0.0%,0.0%,100.0%,1,258890,2026-09-22T22:42:43+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=258890&optNo=ZBs6H
岡山県,(株)ウエスコ,d-hondo@wesco.co.jp; yuta.nakata@wescohd.co.jp,086-254-2402,https://www.instagram.com/wesco_recruit; https://www.wesco.co.jp/,金額不明 1件,,,,,,,,支給あり 2027年2月17日（水）開催（対面） ※対面開催にご参加いただく方には交通費を支給いたします。,0.0%,0.0%,0.0%,100.0%,1,267897,2026-09-25T05:01:06+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=267897&optNo=CzFXa
広島県,(株)ウエストヒル,westhill.saiyou@west-hill.co.jp,082-941-5051; 082-941-5052,https://www.west-hill.co.jp/,条件付き（規定等） 1件,,,会社規定,,,,,支給あり 会社規定による,0.0%,0.0%,100.0%,0.0%,1,98504,2026-09-23T00:18:06+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=98504&optNo=tZgNp
長野県,(株)エグロ,k-kitazawa@eguro.co.jp,0266-23-5511,https://www.eguro.co.jp; https://www.youtube.com/@eguro8788,金額不明 1件,,,,,,,,支給あり 交通費支給,0.0%,0.0%,0.0%,100.0%,1,95475,2026-09-25T08:27:27+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=95475&optNo=8Hf80
福岡県,(株)エコア,jinji@ecoregas.jp,092-282-8917,https://www.ecoregas.jp/,"一部（50,000円） 1件",50000,,,,実費精算,,,支給あり 交通費実費支給（最大5万円まで）,0.0%,100.0%,0.0%,0.0%,1,228244,2026-09-22T14:08:51+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=228244&optNo=r6dom
福島県,(株)エコ・ビレッジ,takiuchi@eco-vnet.com,0246-28-0111,https://www.eco-vnet.com/,"一部（15,000円） 1件",15000,,,,実費精算; 領収書必須,,,"支給あり 交通費は実費支給（上限15,000円）としていますので、領収書等は破棄せずにご持参ください。",0.0%,100.0%,0.0%,0.0%,1,294819,2026-09-25T23:09:29+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=294819&optNo=-ORJ-
静岡県,(株)エス・ティー・シー,jinji@stcnet.jp,054-660-5353,https://www.instagram.com/stc_saiyoz/; https://www.stcnet.co.jp/,"一部（6,000円） 1件",6000,,会社規定,,,,,"支給あり 当社規定により、交通費は上限6,000円まで支給いたします。",0.0%,100.0%,0.0%,0.0%,1,110500,2026-09-22T10:55:17+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=110500&optNo=WZ-k7
,(株)エス・ティー・ワールド,jinji@stworld.co.jp,045-228-8294; 045-228-8418,https://stworld.jp/; https://stworld.jp/corp/recruit_stw/top/,金額不明 1件,,往復,,飛行機,,,,支給あり 往復航空券（日本最寄空港～赴任地）：会社負担,0.0%,0.0%,0.0%,100.0%,1,64452,2026-09-24T22:44:25+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=64452&optNo=ZCM31
徳島県,(株)エス・ビー・シー,ueta-yu@sbc-1969.co.jp,0883-52-1621,http://www.sbc-1969.co.jp/; https://www.facebook.com/sbc1969cojp/,"一部（5,000円） 2件",5000,,,,,,,"支給あり 交通費5,000円支給",0.0%,100.0%,0.0%,0.0%,2,90934,2026-09-25T08:25:11+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=90934&optNo=Fk4qo
静岡県,(株)エッチ・ケー・エス【東証スタンダード市場上場】,yumebara@hks-power.co.jp,0544-29-1111,https://www.hks-global.com/; https://www.hks-power.co.jp/index.html,"一部（5,000円） 1件",5000,,,,,,,"支給あり 一律5,000円を支給いたします。",0.0%,100.0%,0.0%,0.0%,1,232854,2026-09-24T07:07:57+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=232854&optNo=aInZ2
岐阜県,(株)エヌ・エス・ピー,nsp-recruit@r-navi.net,052-307-4993,https://www.kknsp.jp/,全額 1件,全額,,,,,,,支給あり 交通費全額支給いたします。,100.0%,0.0%,0.0%,0.0%,1,73467,2026-09-24T14:23:27+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=73467&optNo=PA9s1
大阪府,(株)エネゲート【関西電力グループ・大崎電気グループ】,recruiter-mail@enegate.co.jp,06-6458-7301,https://www.enegate.co.jp,"一部（2,000円） 1件",2000,,,,,,,"支給あり ※対面開催のみ ＜謝礼および交通費相当としてQUOカード（2,000円分）を進呈＞",0.0%,100.0%,0.0%,0.0%,1,95680,2026-09-25T08:18:53+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=95680&optNo=GhN8z
滋賀県,(株)エフアイ,yuki@efuai.com,077-551-2531,https://www.efuai.co.jp/,全額 1件,全額,,,,実費精算,,,支給あり 交通費：実費支給,100.0%,0.0%,0.0%,0.0%,1,97368,2026-09-23T08:05:08+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=97368&optNo=PKZJ-
滋賀県,(株)エフウォーターマネジメント【アジア航測グループ】,jinji@fwater-mgt.co.jp,077-524-1411,http://www.fwater-mgt.co.jp/; https://www.fwater-mgt.co.jp/,"一部（3,000円） 3件",3000,1日あたり,,公共交通機関,,,,"支給あり 上限3,000円 | 支給あり 公共交通機関利用分支給/1日あたり3,000円上限 | 支給あり 上限3,000円/日",0.0%,100.0%,0.0%,0.0%,3,211054,2026-09-25T22:53:56+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=211054&optNo=R1-5o
